,Strong Binders,Weak Binders,None Binders,Strong Ratio,Weak Ratio,None Ratio
HLA_A0201,4441,71,4782,47.8 %,0.8 %,51.5 %
HLA_B0702,3696,206,5392,39.8 %,2.2 %,58.0 %
HLA_C0702,2454,990,5850,26.4 %,10.7 %,62.9 %
